Price ($),Price Category
12.76,Low Price
12.96,Low Price
13.93,Low Price
14.97,Low Price
14.99,Low Price
15.51,Low Price
15.86,Low Price
15.86,Low Price
15.87,Low Price
15.89,Low Price
15.91,Low Price
16.41,Low Price
16.61,Low Price
17.04,Low Price
17.18,Low Price
17.2,Low Price
17.47,Low Price
17.64,Low Price
17.99,Low Price
18.39,Low Price
18.45,Low Price
18.56,Low Price
18.91,Low Price
18.93,Low Price
18.99,Low Price
19.2,Low Price
19.26,Low Price
19.35,Low Price
19.46,Low Price
19.9,Low Price
19.9,Low Price
19.91,Low Price
19.94,Low Price
20.11,Low Price
20.38,Low Price
20.48,Low Price
20.59,Low Price
21.12,Low Price
21.16,Low Price
21.22,Low Price
21.22,Low Price
21.55,Low Price
21.61,Low Price
21.62,Low Price
22.01,Low Price
22.06,Low Price
22.6,Low Price
22.74,Low Price
22.98,Low Price
23.05,Low Price
23.12,Low Price
23.14,Low Price
23.41,Low Price
23.45,Low Price
23.74,Low Price
23.96,Low Price
24.07,Low Price
24.13,Low Price
24.29,Low Price
24.88,Low Price
25.49,Low Price
25.79,Low Price
26.39,Low Price
26.53,Low Price
27.38,Low Price
27.66,Low Price
30.46,Low Price
39.38,Medium Price
39.8,Medium Price
41.21,Medium Price
41.43,Medium Price
42.03,Medium Price
42.33,Medium Price
43.4,Medium Price
44.08,Medium Price
44.38,Medium Price
44.66,Medium Price
45.18,Medium Price
45.51,Medium Price
45.8,Medium Price
45.96,Medium Price
46.13,Medium Price
46.16,Medium Price
46.2,Medium Price
46.26,Medium Price
47,Medium Price
47,Medium Price
47.12,Medium Price
47.37,Medium Price
47.65,Medium Price
47.75,Medium Price
48.65,Medium Price
48.76,Medium Price
49.29,Medium Price
49.43,Medium Price
50.03,Medium Price
50.06,Medium Price
50.12,Medium Price
50.23,Medium Price
50.34,Medium Price
50.49,Medium Price
50.58,Medium Price
50.6,Medium Price
50.75,Medium Price
50.92,Medium Price
51.66,Medium Price
51.71,Medium Price
52.46,Medium Price
52.49,Medium Price
52.57,Medium Price
53.11,Medium Price
53.23,Medium Price
53.43,Medium Price
53.56,Medium Price
53.59,Medium Price
54.36,Medium Price
54.75,Medium Price
54.8,Medium Price
54.86,Medium Price
55.29,Medium Price
55.9,Medium Price
55.9,Medium Price
56.19,Medium Price
56.39,Medium Price
56.77,Medium Price
56.84,Medium Price
57.26,Medium Price
57.76,Medium Price
58.78,Medium Price
59.16,Medium Price
59.38,Medium Price
60.3,Medium Price
60.77,Medium Price
60.95,Medium Price
68.49,High Price
69.66,High Price
71.48,High Price
71.97,High Price
72.42,High Price
72.89,High Price
73.09,High Price
73.1,High Price
73.48,High Price
74.01,High Price
74.59,High Price
74.7,High Price
74.81,High Price
74.82,High Price
75.07,High Price
75.22,High Price
75.3,High Price
75.62,High Price
75.69,High Price
76.04,High Price
76.22,High Price
76.5,High Price
76.77,High Price
77.12,High Price
77.23,High Price
77.35,High Price
77.35,High Price
77.43,High Price
78.62,High Price
78.75,High Price
78.9,High Price
79.05,High Price
79.36,High Price
79.44,High Price
79.46,High Price
79.55,High Price
79.69,High Price
79.72,High Price
79.84,High Price
79.96,High Price
80.18,High Price
80.37,High Price
80.39,High Price
81.02,High Price
81.07,High Price
81.56,High Price
81.83,High Price
81.92,High Price
82.52,High Price
82.69,High Price
82.88,High Price
83.07,High Price
83.35,High Price
83.79,High Price
84.41,High Price
84.78,High Price
85.6,High Price
86.83,High Price
87.4,High Price
87.51,High Price
87.62,High Price
88.14,High Price
88.22,High Price
88.44,High Price
89.82,High Price
95.39,High Price
